Index,Variant,Major.Area,sex,Notes,Country.code,year,age.group,value,order
1680,Estimates,Georgia,female,11,268,2015,20 - 24,148,5
1667,Estimates,Georgia,male,11,268,1950,20 - 24,185,5
1668,Estimates,Georgia,male,11,268,1955,20 - 24,178,5
1669,Estimates,Georgia,male,11,268,1960,20 - 24,190,5
1670,Estimates,Georgia,male,11,268,1965,20 - 24,129,5
1671,Estimates,Georgia,male,11,268,1970,20 - 24,148,5
1672,Estimates,Georgia,male,11,268,1975,20 - 24,195,5
1673,Estimates,Georgia,male,11,268,1980,20 - 24,213,5
1674,Estimates,Georgia,male,11,268,1985,20 - 24,226,5
1675,Estimates,Georgia,male,11,268,1990,20 - 24,203,5
1676,Estimates,Georgia,male,11,268,1995,20 - 24,185,5
1677,Estimates,Georgia,male,11,268,2000,20 - 24,171,5
1678,Estimates,Georgia,male,11,268,2005,20 - 24,174,5
1679,Estimates,Georgia,male,11,268,2010,20 - 24,182,5
1680,Estimates,Georgia,male,11,268,2015,20 - 24,153,5
1667,Estimates,Georgia,female,11,268,1950,25 - 29,129,6
1668,Estimates,Georgia,female,11,268,1955,25 - 29,189,6
1669,Estimates,Georgia,female,11,268,1960,25 - 29,184,6
1670,Estimates,Georgia,female,11,268,1965,25 - 29,211,6
1671,Estimates,Georgia,female,11,268,1970,25 - 29,147,6
1672,Estimates,Georgia,female,11,268,1975,25 - 29,154,6
1673,Estimates,Georgia,female,11,268,1980,25 - 29,200,6
1674,Estimates,Georgia,female,11,268,1985,25 - 29,227,6
1675,Estimates,Georgia,female,11,268,1990,25 - 29,241,6
1676,Estimates,Georgia,female,11,268,1995,25 - 29,177,6
1677,Estimates,Georgia,female,11,268,2000,25 - 29,166,6
1678,Estimates,Georgia,female,11,268,2005,25 - 29,167,6
1679,Estimates,Georgia,female,11,268,2010,25 - 29,162,6
1680,Estimates,Georgia,female,11,268,2015,25 - 29,161,6
1667,Estimates,Georgia,male,11,268,1950,25 - 29,104,6
1668,Estimates,Georgia,male,11,268,1955,25 - 29,189,6
1669,Estimates,Georgia,male,11,268,1960,25 - 29,184,6
1670,Estimates,Georgia,male,11,268,1965,25 - 29,193,6
1671,Estimates,Georgia,male,11,268,1970,25 - 29,125,6
1672,Estimates,Georgia,male,11,268,1975,25 - 29,138,6
1673,Estimates,Georgia,male,11,268,1980,25 - 29,185,6
1674,Estimates,Georgia,male,11,268,1985,25 - 29,213,6
1675,Estimates,Georgia,male,11,268,1990,25 - 29,223,6
1676,Estimates,Georgia,male,11,268,1995,25 - 29,174,6
1677,Estimates,Georgia,male,11,268,2000,25 - 29,164,6
1678,Estimates,Georgia,male,11,268,2005,25 - 29,155,6
1679,Estimates,Georgia,male,11,268,2010,25 - 29,161,6
1680,Estimates,Georgia,male,11,268,2015,25 - 29,164,6
1667,Estimates,Georgia,female,11,268,1950,30 - 34,103,7
1668,Estimates,Georgia,female,11,268,1955,30 - 34,133,7
1669,Estimates,Georgia,female,11,268,1960,30 - 34,185,7
1670,Estimates,Georgia,female,11,268,1965,30 - 34,180,7
1671,Estimates,Georgia,female,11,268,1970,30 - 34,214,7
1672,Estimates,Georgia,female,11,268,1975,30 - 34,146,7
1673,Estimates,Georgia,female,11,268,1980,30 - 34,162,7
1674,Estimates,Georgia,female,11,268,1985,30 - 34,197,7
1675,Estimates,Georgia,female,11,268,1990,30 - 34,225,7
1676,Estimates,Georgia,female,11,268,1995,30 - 34,218,7
1677,Estimates,Georgia,female,11,268,2000,30 - 34,162,7
1678,Estimates,Georgia,female,11,268,2005,30 - 34,156,7
1679,Estimates,Georgia,female,11,268,2010,30 - 34,156,7
1680,Estimates,Georgia,female,11,268,2015,30 - 34,147,7
1667,Estimates,Georgia,male,11,268,1950,30 - 34,73,7
1668,Estimates,Georgia,male,11,268,1955,30 - 34,106,7
1669,Estimates,Georgia,male,11,268,1960,30 - 34,181,7
1670,Estimates,Georgia,male,11,268,1965,30 - 34,176,7
1671,Estimates,Georgia,male,11,268,1970,30 - 34,193,7
1672,Estimates,Georgia,male,11,268,1975,30 - 34,127,7
1673,Estimates,Georgia,male,11,268,1980,30 - 34,149,7
1674,Estimates,Georgia,male,11,268,1985,30 - 34,186,7
1675,Estimates,Georgia,male,11,268,1990,30 - 34,211,7
1676,Estimates,Georgia,male,11,268,1995,30 - 34,196,7
1677,Estimates,Georgia,male,11,268,2000,30 - 34,154,7
1678,Estimates,Georgia,male,11,268,2005,30 - 34,147,7
1679,Estimates,Georgia,male,11,268,2010,30 - 34,147,7
1680,Estimates,Georgia,male,11,268,2015,30 - 34,148,7
1667,Estimates,Georgia,female,11,268,1950,35 - 39,142,8
1668,Estimates,Georgia,female,11,268,1955,35 - 39,105,8
1669,Estimates,Georgia,female,11,268,1960,35 - 39,137,8
1670,Estimates,Georgia,female,11,268,1965,35 - 39,184,8
1671,Estimates,Georgia,female,11,268,1970,35 - 39,175,8
1672,Estimates,Georgia,female,11,268,1975,35 - 39,208,8
1673,Estimates,Georgia,female,11,268,1980,35 - 39,138,8
1674,Estimates,Georgia,female,11,268,1985,35 - 39,159,8
1675,Estimates,Georgia,female,11,268,1990,35 - 39,191,8
1676,Estimates,Georgia,female,11,268,1995,35 - 39,202,8
1677,Estimates,Georgia,female,11,268,2000,35 - 39,202,8
1678,Estimates,Georgia,female,11,268,2005,35 - 39,152,8
1679,Estimates,Georgia,female,11,268,2010,35 - 39,147,8
1680,Estimates,Georgia,female,11,268,2015,35 - 39,144,8
1667,Estimates,Georgia,male,11,268,1950,35 - 39,96,8
1668,Estimates,Georgia,male,11,268,1955,35 - 39,73,8
1669,Estimates,Georgia,male,11,268,1960,35 - 39,107,8
1670,Estimates,Georgia,male,11,268,1965,35 - 39,178,8
1671,Estimates,Georgia,male,11,268,1970,35 - 39,169,8
1672,Estimates,Georgia,male,11,268,1975,35 - 39,190,8
1673,Estimates,Georgia,male,11,268,1980,35 - 39,119,8
1674,Estimates,Georgia,male,11,268,1985,35 - 39,146,8
1675,Estimates,Georgia,male,11,268,1990,35 - 39,180,8
1676,Estimates,Georgia,male,11,268,1995,35 - 39,186,8
1677,Estimates,Georgia,male,11,268,2000,35 - 39,177,8
1678,Estimates,Georgia,male,11,268,2005,35 - 39,137,8
1679,Estimates,Georgia,male,11,268,2010,35 - 39,138,8
1680,Estimates,Georgia,male,11,268,2015,35 - 39,139,8
1667,Estimates,Georgia,female,11,268,1950,40 - 44,121,9
1668,Estimates,Georgia,female,11,268,1955,40 - 44,146,9
1669,Estimates,Georgia,female,11,268,1960,40 - 44,104,9
1670,Estimates,Georgia,female,11,268,1965,40 - 44,138,9
1671,Estimates,Georgia,female,11,268,1970,40 - 44,186,9
1672,Estimates,Georgia,female,11,268,1975,40 - 44,166,9
1673,Estimates,Georgia,female,11,268,1980,40 - 44,201,9
1674,Estimates,Georgia,female,11,268,1985,40 - 44,136,9
1675,Estimates,Georgia,female,11,268,1990,40 - 44,162,9
1676,Estimates,Georgia,female,11,268,1995,40 - 44,170,9
1677,Estimates,Georgia,female,11,268,2000,40 - 44,186,9
1678,Estimates,Georgia,female,11,268,2005,40 - 44,190,9
1679,Estimates,Georgia,female,11,268,2010,40 - 44,146,9
1680,Estimates,Georgia,female,11,268,2015,40 - 44,138,9
1667,Estimates,Georgia,male,11,268,1950,40 - 44,95,9
1668,Estimates,Georgia,male,11,268,1955,40 - 44,96,9
1669,Estimates,Georgia,male,11,268,1960,40 - 44,70,9
1670,Estimates,Georgia,male,11,268,1965,40 - 44,107,9
1671,Estimates,Georgia,male,11,268,1970,40 - 44,176,9
1672,Estimates,Georgia,male,11,268,1975,40 - 44,160,9
1673,Estimates,Georgia,male,11,268,1980,40 - 44,179,9
1674,Estimates,Georgia,male,11,268,1985,40 - 44,118,9
1675,Estimates,Georgia,male,11,268,1990,40 - 44,146,9
1676,Estimates,Georgia,male,11,268,1995,40 - 44,157,9
1677,Estimates,Georgia,male,11,268,2000,40 - 44,169,9
1678,Estimates,Georgia,male,11,268,2005,40 - 44,162,9
1679,Estimates,Georgia,male,11,268,2010,40 - 44,131,9
1680,Estimates,Georgia,male,11,268,2015,40 - 44,129,9
1667,Estimates,Georgia,female,11,268,1950,45 - 49,107,10
1668,Estimates,Georgia,female,11,268,1955,45 - 49,124,10
1669,Estimates,Georgia,female,11,268,1960,45 - 49,146,10
1670,Estimates,Georgia,female,11,268,1965,45 - 49,99,10
1671,Estimates,Georgia,female,11,268,1970,45 - 49,134,10
1672,Estimates,Georgia,female,11,268,1975,45 - 49,182,10
1673,Estimates,Georgia,female,11,268,1980,45 - 49,169,10
1674,Estimates,Georgia,female,11,268,1985,45 - 49,199,10
1675,Estimates,Georgia,female,11,268,1990,45 - 49,130,10
1676,Estimates,Georgia,female,11,268,1995,45 - 49,145,10
1677,Estimates,Georgia,female,11,268,2000,45 - 49,156,10
1678,Estimates,Georgia,female,11,268,2005,45 - 49,175,10
1679,Estimates,Georgia,female,11,268,2010,45 - 49,174,10
1680,Estimates,Georgia,female,11,268,2015,45 - 49,140,10
1667,Estimates,Georgia,male,11,268,1950,45 - 49,86,10
1668,Estimates,Georgia,male,11,268,1955,45 - 49,93,10
1669,Estimates,Georgia,male,11,268,1960,45 - 49,92,10
1670,Estimates,Georgia,male,11,268,1965,45 - 49,63,10
1671,Estimates,Georgia,male,11,268,1970,45 - 49,99,10
1672,Estimates,Georgia,male,11,268,1975,45 - 49,169,10
1673,Estimates,Georgia,male,11,268,1980,45 - 49,162,10
1674,Estimates,Georgia,male,11,268,1985,45 - 49,180,10
1675,Estimates,Georgia,male,11,268,1990,45 - 49,115,10
1676,Estimates,Georgia,male,11,268,1995,45 - 49,127,10
1677,Estimates,Georgia,male,11,268,2000,45 - 49,141,10
1678,Estimates,Georgia,male,11,268,2005,45 - 49,155,10
1679,Estimates,Georgia,male,11,268,2010,45 - 49,149,10
1680,Estimates,Georgia,male,11,268,2015,45 - 49,124,10
1667,Estimates,Georgia,female,11,268,1950,50 - 54,80,11
1668,Estimates,Georgia,female,11,268,1955,50 - 54,107,11
1669,Estimates,Georgia,female,11,268,1960,50 - 54,121,11
1670,Estimates,Georgia,female,11,268,1965,50 - 54,145,11
1671,Estimates,Georgia,female,11,268,1970,50 - 54,97,11
1672,Estimates,Georgia,female,11,268,1975,50 - 54,140,11
1673,Estimates,Georgia,female,11,268,1980,50 - 54,176,11
1674,Estimates,Georgia,female,11,268,1985,50 - 54,164,11
1675,Estimates,Georgia,female,11,268,1990,50 - 54,192,11
1676,Estimates,Georgia,female,11,268,1995,50 - 54,113,11
1677,Estimates,Georgia,female,11,268,2000,50 - 54,133,11
1678,Estimates,Georgia,female,11,268,2005,50 - 54,145,11
1679,Estimates,Georgia,female,11,268,2010,50 - 54,160,11
1680,Estimates,Georgia,female,11,268,2015,50 - 54,157,11
1667,Estimates,Georgia,male,11,268,1950,50 - 54,69,11
1668,Estimates,Georgia,male,11,268,1955,50 - 54,82,11
1669,Estimates,Georgia,male,11,268,1960,50 - 54,86,11
1670,Estimates,Georgia,male,11,268,1965,50 - 54,89,11
1671,Estimates,Georgia,male,11,268,1970,50 - 54,60,11
1672,Estimates,Georgia,male,11,268,1975,50 - 54,93,11
1673,Estimates,Georgia,male,11,268,1980,50 - 54,161,11
1674,Estimates,Georgia,male,11,268,1985,50 - 54,150,11
1675,Estimates,Georgia,male,11,268,1990,50 - 54,171,11
1676,Estimates,Georgia,male,11,268,1995,50 - 54,97,11
1677,Estimates,Georgia,male,11,268,2000,50 - 54,113,11
1678,Estimates,Georgia,male,11,268,2005,50 - 54,128,11
1679,Estimates,Georgia,male,11,268,2010,50 - 54,138,11
1680,Estimates,Georgia,male,11,268,2015,50 - 54,134,11
1667,Estimates,Georgia,female,11,268,1950,55 - 59,70,12
1668,Estimates,Georgia,female,11,268,1955,55 - 59,79,12
1669,Estimates,Georgia,female,11,268,1960,55 - 59,104,12
1670,Estimates,Georgia,female,11,268,1965,55 - 59,115,12
1671,Estimates,Georgia,female,11,268,1970,55 - 59,141,12
1672,Estimates,Georgia,female,11,268,1975,55 - 59,104,12
1673,Estimates,Georgia,female,11,268,1980,55 - 59,143,12
1674,Estimates,Georgia,female,11,268,1985,55 - 59,174,12
1675,Estimates,Georgia,female,11,268,1990,55 - 59,159,12
1676,Estimates,Georgia,female,11,268,1995,55 - 59,171,12
1677,Estimates,Georgia,female,11,268,2000,55 - 59,101,12
1678,Estimates,Georgia,female,11,268,2005,55 - 59,123,12
1679,Estimates,Georgia,female,11,268,2010,55 - 59,132,12
1680,Estimates,Georgia,female,11,268,2015,55 - 59,144,12
1667,Estimates,Georgia,male,11,268,1950,55 - 59,70,12
1668,Estimates,Georgia,male,11,268,1955,55 - 59,64,12
1669,Estimates,Georgia,male,11,268,1960,55 - 59,75,12
1670,Estimates,Georgia,male,11,268,1965,55 - 59,77,12
1671,Estimates,Georgia,male,11,268,1970,55 - 59,83,12
1672,Estimates,Georgia,male,11,268,1975,55 - 59,60,12
1673,Estimates,Georgia,male,11,268,1980,55 - 59,93,12
1674,Estimates,Georgia,male,11,268,1985,55 - 59,149,12
1675,Estimates,Georgia,male,11,268,1990,55 - 59,138,12
1676,Estimates,Georgia,male,11,268,1995,55 - 59,146,12
1677,Estimates,Georgia,male,11,268,2000,55 - 59,84,12
1678,Estimates,Georgia,male,11,268,2005,55 - 59,101,12
1679,Estimates,Georgia,male,11,268,2010,55 - 59,111,12
1680,Estimates,Georgia,male,11,268,2015,55 - 59,119,12
1667,Estimates,Georgia,female,11,268,1950,60 - 64,89,13
1668,Estimates,Georgia,female,11,268,1955,60 - 64,67,13
1669,Estimates,Georgia,female,11,268,1960,60 - 64,74,13
1670,Estimates,Georgia,female,11,268,1965,60 - 64,98,13
1671,Estimates,Georgia,female,11,268,1970,60 - 64,105,13
1672,Estimates,Georgia,female,11,268,1975,60 - 64,120,13
1673,Estimates,Georgia,female,11,268,1980,60 - 64,103,13
1674,Estimates,Georgia,female,11,268,1985,60 - 64,135,13
1675,Estimates,Georgia,female,11,268,1990,60 - 64,169,13
1676,Estimates,Georgia,female,11,268,1995,60 - 64,136,13
1677,Estimates,Georgia,female,11,268,2000,60 - 64,154,13
1678,Estimates,Georgia,female,11,268,2005,60 - 64,92,13
1679,Estimates,Georgia,female,11,268,2010,60 - 64,105,13
1680,Estimates,Georgia,female,11,268,2015,60 - 64,117,13
1667,Estimates,Georgia,male,11,268,1950,60 - 64,81,13
1668,Estimates,Georgia,male,11,268,1955,60 - 64,63,13
1669,Estimates,Georgia,male,11,268,1960,60 - 64,56,13
1670,Estimates,Georgia,male,11,268,1965,60 - 64,67,13
1671,Estimates,Georgia,male,11,268,1970,60 - 64,66,13
1672,Estimates,Georgia,male,11,268,1975,60 - 64,72,13
1673,Estimates,Georgia,male,11,268,1980,60 - 64,55,13
1674,Estimates,Georgia,male,11,268,1985,60 - 64,87,13
1675,Estimates,Georgia,male,11,268,1990,60 - 64,137,13
1676,Estimates,Georgia,male,11,268,1995,60 - 64,113,13
1677,Estimates,Georgia,male,11,268,2000,60 - 64,126,13
1678,Estimates,Georgia,male,11,268,2005,60 - 64,72,13
1679,Estimates,Georgia,male,11,268,2010,60 - 64,83,13
1680,Estimates,Georgia,male,11,268,2015,60 - 64,93,13
1667,Estimates,Georgia,female,11,268,1950,65 - 69,78,14
1668,Estimates,Georgia,female,11,268,1955,65 - 69,81,14
1669,Estimates,Georgia,female,11,268,1960,65 - 69,60,14
1670,Estimates,Georgia,female,11,268,1965,65 - 69,66,14
1671,Estimates,Georgia,female,11,268,1970,65 - 69,91,14
1672,Estimates,Georgia,female,11,268,1975,65 - 69,94,14
1673,Estimates,Georgia,female,11,268,1980,65 - 69,106,14
1674,Estimates,Georgia,female,11,268,1985,65 - 69,89,14
1675,Estimates,Georgia,female,11,268,1990,65 - 69,120,14
1676,Estimates,Georgia,female,11,268,1995,65 - 69,142,14
1677,Estimates,Georgia,female,11,268,2000,65 - 69,117,14
1678,Estimates,Georgia,female,11,268,2005,65 - 69,138,14
1679,Estimates,Georgia,female,11,268,2010,65 - 69,86,14
1680,Estimates,Georgia,female,11,268,2015,65 - 69,84,14
1667,Estimates,Georgia,male,11,268,1950,65 - 69,61,14
1668,Estimates,Georgia,male,11,268,1955,65 - 69,68,14
1669,Estimates,Georgia,male,11,268,1960,65 - 69,52,14
1670,Estimates,Georgia,male,11,268,1965,65 - 69,47,14
1671,Estimates,Georgia,male,11,268,1970,65 - 69,58,14
1672,Estimates,Georgia,male,11,268,1975,65 - 69,55,14
1673,Estimates,Georgia,male,11,268,1980,65 - 69,58,14
1674,Estimates,Georgia,male,11,268,1985,65 - 69,44,14
1675,Estimates,Georgia,male,11,268,1990,65 - 69,73,14
1676,Estimates,Georgia,male,11,268,1995,65 - 69,109,14
1677,Estimates,Georgia,male,11,268,2000,65 - 69,91,14
1678,Estimates,Georgia,male,11,268,2005,65 - 69,105,14
1679,Estimates,Georgia,male,11,268,2010,65 - 69,61,14
1680,Estimates,Georgia,male,11,268,2015,65 - 69,63,14
1667,Estimates,Georgia,female,11,268,1950,70 - 74,60,15
1668,Estimates,Georgia,female,11,268,1955,70 - 74,67,15
1669,Estimates,Georgia,female,11,268,1960,70 - 74,68,15
1670,Estimates,Georgia,female,11,268,1965,70 - 74,51,15
1671,Estimates,Georgia,female,11,268,1970,70 - 74,55,15
1672,Estimates,Georgia,female,11,268,1975,70 - 74,78,15
1673,Estimates,Georgia,female,11,268,1980,70 - 74,82,15
1674,Estimates,Georgia,female,11,268,1985,70 - 74,94,15
1675,Estimates,Georgia,female,11,268,1990,70 - 74,77,15
1676,Estimates,Georgia,female,11,268,1995,70 - 74,94,15
1677,Estimates,Georgia,female,11,268,2000,70 - 74,117,15
1678,Estimates,Georgia,female,11,268,2005,70 - 74,98,15
1679,Estimates,Georgia,female,11,268,2010,70 - 74,117,15
1680,Estimates,Georgia,female,11,268,2015,70 - 74,77,15
1667,Estimates,Georgia,male,11,268,1950,70 - 74,43,15
1668,Estimates,Georgia,male,11,268,1955,70 - 74,47,15
1669,Estimates,Georgia,male,11,268,1960,70 - 74,52,15
1670,Estimates,Georgia,male,11,268,1965,70 - 74,40,15
1671,Estimates,Georgia,male,11,268,1970,70 - 74,35,15
1672,Estimates,Georgia,male,11,268,1975,70 - 74,45,15
1673,Estimates,Georgia,male,11,268,1980,70 - 74,45,15
1674,Estimates,Georgia,male,11,268,1985,70 - 74,48,15
1675,Estimates,Georgia,male,11,268,1990,70 - 74,35,15
1676,Estimates,Georgia,male,11,268,1995,70 - 74,52,15
1677,Estimates,Georgia,male,11,268,2000,70 - 74,81,15
1678,Estimates,Georgia,male,11,268,2005,70 - 74,70,15
1679,Estimates,Georgia,male,11,268,2010,70 - 74,81,15
1680,Estimates,Georgia,male,11,268,2015,70 - 74,47,15
1667,Estimates,Georgia,female,11,268,1950,75 - 79,40,16
1668,Estimates,Georgia,female,11,268,1955,75 - 79,44,16
1669,Estimates,Georgia,female,11,268,1960,75 - 79,49,16
1670,Estimates,Georgia,female,11,268,1965,75 - 79,51,16
1671,Estimates,Georgia,female,11,268,1970,75 - 79,40,16
1672,Estimates,Georgia,female,11,268,1975,75 - 79,38,16
1673,Estimates,Georgia,female,11,268,1980,75 - 79,60,16
1674,Estimates,Georgia,female,11,268,1985,75 - 79,62,16
1675,Estimates,Georgia,female,11,268,1990,75 - 79,75,16
1676,Estimates,Georgia,female,11,268,1995,75 - 79,54,16
1677,Estimates,Georgia,female,11,268,2000,75 - 79,69,16
1678,Estimates,Georgia,female,11,268,2005,75 - 79,90,16
1679,Estimates,Georgia,female,11,268,2010,75 - 79,73,16
1680,Estimates,Georgia,female,11,268,2015,75 - 79,89,16
1667,Estimates,Georgia,male,11,268,1950,75 - 79,25,16
1668,Estimates,Georgia,male,11,268,1955,75 - 79,29,16
1669,Estimates,Georgia,male,11,268,1960,75 - 79,32,16
1670,Estimates,Georgia,male,11,268,1965,75 - 79,35,16
1671,Estimates,Georgia,male,11,268,1970,75 - 79,28,16
