variable,type,year,value,geo
Intentional homicide rate (per 100 000 pop.),social,2014,2.7,
Seats held by women in national parliaments (%),social,2016,11.3,
Mobile-cellular subscriptions (per 100 inhabitants),Environment,2014,124.9,
Individuals using the Internet (%),Environment,2014,48.9,
Patents: Resident filings (per million pop.),Environment,2014,24,
Threatened species,Environment,2015,114,
Forested area (% of land area),Environment,2013,40.6,
CO2 emission estimates (tons per capita),Environment,2013,1.8,
"Energy production, primary (Petajoules)",Environment,2013,59,
Energy supply per capita (Gigajoules),Environment,2013,40,
Terrestrial and marine areas protected (% of total area),Environment,2014,6.5,
Net Official Development Assistance received (% of GNI),Environment,2014,3.4,
Export of Services,Travel,2012,55.5,
Export of Services,Transportation,2012,33.4,
Export of Services,Remaining,2012,11.1,
Total Services Trade,Exports,2000,0.4,
Total Services Trade,Exports,2001,0.4,
Total Services Trade,Exports,2002,0.5,
Total Services Trade,Exports,2003,0.5,
Total Services Trade,Exports,2004,0.6,
Total Services Trade,Exports,2005,0.7,
Total Services Trade,Exports,2006,0.8,
Total Services Trade,Exports,2007,0.8,
Total Services Trade,Exports,2008,1,
Total Services Trade,Exports,2009,2,
Total Services Trade,Exports,2010,1.5,
Total Services Trade,Exports,2011,2,
Total Services Trade,Exports,2012,2.5,
Total Services Trade,Imports,2000,0.4,
Total Services Trade,Imports,2001,0.4,
Total Services Trade,Imports,2002,0.5,
Total Services Trade,Imports,2003,0.5,
Total Services Trade,Imports,2004,0.7,
Total Services Trade,Imports,2005,0.8,
Total Services Trade,Imports,2006,0.8,
Total Services Trade,Imports,2007,0.7,
Total Services Trade,Imports,2008,0.8,
Total Services Trade,Imports,2009,0.9,
Total Services Trade,Imports,2010,1,
Total Services Trade,Imports,2011,1.1,
Total Services Trade,Imports,2012,1.1,
Merchandize Trade Balance,Exports,2013,0,Dev. Asia Pacific
Merchandize Trade Balance,Exports,2013,0.5,Europe
Merchandize Trade Balance,Exports,2013,0.4,North America
Merchandize Trade Balance,Exports,2013,0.3,South Eastern Europe
Merchandize Trade Balance,Exports,2013,2,CIS
Merchandize Trade Balance,Exports,2013,0,North Africa
Merchandize Trade Balance,Exports,2013,0.1,Sub-Saharan Africa
Merchandize Trade Balance,Exports,2013,0.1,Latin Am. And Carr.
Merchandize Trade Balance,Exports,2013,0.2,Eastern Asia
Merchandize Trade Balance,Exports,2013,0.2,Southern Asia
Merchandize Trade Balance,Exports,2013,0,South-Eastern Asia
Merchandize Trade Balance,Exports,2013,0.4,Western Asia
Merchandize Trade Balance,Exports,2013,0,Oceania
Merchandize Trade Balance,Imports,2013,0.5,Dev. Asia Pacific
Merchandize Trade Balance,Imports,2013,2,Europe
Merchandize Trade Balance,Imports,2013,0.5,North America
Merchandize Trade Balance,Imports,2013,0.7,South Eastern Europe
Merchandize Trade Balance,Imports,2013,2.2,CIS
Merchandize Trade Balance,Imports,2013,0,North Africa
Merchandize Trade Balance,Imports,2013,0,Sub-Saharan Africa
Merchandize Trade Balance,Imports,2013,0.2,Latin Am. And Carr.
Merchandize Trade Balance,Imports,2013,0.8,Eastern Asia
Merchandize Trade Balance,Imports,2013,0.4,Southern Asia
Merchandize Trade Balance,Imports,2013,0.2,South-Eastern Asia
Merchandize Trade Balance,Imports,2013,1.7,Western Asia
Merchandize Trade Balance,Imports,2013,0,Oceania
Merchandize Trade Balance,Balance,2013,-0.5,Dev. Asia Pacific
Merchandize Trade Balance,Balance,2013,-1.5,Europe
Merchandize Trade Balance,Balance,2013,-0.1,North America
Merchandize Trade Balance,Balance,2013,-0.4,South Eastern Europe
Merchandize Trade Balance,Balance,2013,-0.2,CIS
Merchandize Trade Balance,Balance,2013,0,North Africa
Merchandize Trade Balance,Balance,2013,0.1,Sub-Saharan Africa
Merchandize Trade Balance,Balance,2013,-0.1,Latin Am. And Carr.
Merchandize Trade Balance,Balance,2013,-0.6,Eastern Asia
Merchandize Trade Balance,Balance,2013,-0.2,Southern Asia
Merchandize Trade Balance,Balance,2013,-0.2,South-Eastern Asia
Merchandize Trade Balance,Balance,2013,-1.3,Western Asia
Merchandize Trade Balance,Balance,2013,0,Oceania
